Run,K_Group,Total_Tasks,Correct,Incorrect,Accuracy_Percent
Run_1,K=1,20,14,6,70.00
Run_1,K=2,20,13,7,65.00
Run_1,K=3,10,6,4,60.00
Run_2,K=1,20,15,5,75.00
Run_2,K=2,20,14,6,70.00
Run_2,K=3,10,6,4,60.00
Run_3,K=1,20,15,5,75.00
Run_3,K=2,20,14,6,70.00
Run_3,K=3,10,6,4,60.00
